node_a,node_b,score_mean,score_p75,score_max,pair_count,human_action,human_notes
L2_N10f72f08,L2_Ne4cef915,0.15917526185512543,0.1605221927165985,0.1618691032497042,2,keep,
L2_N13abaa5a,L2_N2f32c229,0.2099793553352356,0.22019313275814056,0.2304069038808287,2,keep,
L2_N13abaa5a,L2_N306e9a75,0.19101716578006744,0.1943417638540268,0.1943417703120584,4,keep,
L2_N13abaa5a,L2_N3d4844b8,0.18750108778476715,0.18813693523406982,0.1887727888023841,2,keep,
L2_N13abaa5a,L2_N4db8aea7,0.16310682892799377,0.16310682892799377,0.1631068240447029,1,keep,
L2_N13abaa5a,L2_N5e2fe781,0.16533027589321136,0.16533027589321136,0.1653302796993725,1,keep,
L2_N13abaa5a,L2_N649ec6c7,0.32875382900238037,0.3373537063598633,0.3459535768271755,2,keep,
L2_N13abaa5a,L2_N6da1b013,0.14306336641311646,0.14306336641311646,0.143063369541974,1,keep,
L2_N13abaa5a,L2_N8228268e,0.8629231452941895,0.863297164440155,0.8636712514688601,2,keep,
L2_N13abaa5a,L2_N8c3b0cad,0.1853962242603302,0.1853962242603302,0.1853962213817039,1,keep,
L2_N13abaa5a,L2_N926fa20a,0.19213736057281494,0.1948857307434082,0.1976341111296941,2,keep,
L2_N13abaa5a,L2_N9f46f3fd,0.1443009376525879,0.14645062386989594,0.1486003165931538,2,keep,
L2_N13abaa5a,L2_Na5b73aaf,0.14484043419361115,0.14484043419361115,0.1448404275444427,1,keep,
L2_N13abaa5a,L2_Na75f0b05,0.15462307631969452,0.15462307631969452,0.1546230794820534,1,keep,
L2_N13abaa5a,L2_Nadf8c478,0.19210170209407806,0.19368621706962585,0.1952707269649807,2,keep,
L2_N13abaa5a,L2_Nb22f5139,0.16462591290473938,0.16462591290473938,0.1646259056287604,1,keep,
L2_N13abaa5a,L2_Nb80d9c6e,0.1975805163383484,0.19856761395931244,0.1995547323076312,2,keep,
L2_N13abaa5a,L2_Nbd50000d,0.1751137375831604,0.17625387012958527,0.1773940037586744,2,keep,
L2_N13abaa5a,L2_Nc3c2ff15,0.1739119589328766,0.17525523900985718,0.1765985293864271,2,keep,
L2_N13abaa5a,L2_Nd5d2d592,0.1570693403482437,0.1570693403482437,0.1570693449240883,1,keep,
L2_N13abaa5a,L2_Nd8a500a1,0.14422085881233215,0.14422085881233215,0.1442208572776758,1,keep,
L2_N13abaa5a,L2_Ne4cef915,0.2321627140045166,0.23813898861408234,0.2441152591176966,2,keep,
L2_N13abaa5a,L2_Nf64b0b03,0.36043551564216614,0.37296366691589355,0.3854918461902774,2,keep,
L2_N172cd711,L2_N3782a8fc,0.257027268409729,0.2607893645763397,0.2645514590118767,2,keep,
L2_N172cd711,L2_N466127b4,0.17684684693813324,0.17684684693813324,0.1768468489298499,2,keep,
L2_N172cd711,L2_N6d9c5da7,0.16181828081607819,0.16181828081607819,0.1618182832121875,1,keep,
L2_N172cd711,L2_N709fdde1,0.22780585289001465,0.25487545132637024,0.383203018203601,8,keep,
L2_N172cd711,L2_Naaad89dc,0.29917025566101074,0.31727471947669983,0.3353791925698863,2,keep,
L2_N172cd711,L2_Nd825449f,0.15304557979106903,0.15304557979106903,0.1530455848981847,1,keep,
L2_N18198f00,L2_N2f32c229,0.19489355385303497,0.19716547429561615,0.1994373982923598,2,keep,
L2_N18198f00,L2_N3c9cbbd0,0.17597323656082153,0.17822648584842682,0.1804797172038244,2,keep,
L2_N18198f00,L2_N3d4844b8,0.2970901131629944,0.32076919078826904,0.3444482417958489,2,keep,
L2_N18198f00,L2_N60c3ab56,0.7780274152755737,0.8180688619613647,0.8581103445144763,2,keep,
L2_N18198f00,L2_N7d5270bf,0.18780237436294556,0.18810763955116272,0.1884129161303932,2,keep,
L2_N18198f00,L2_N8228268e,0.17867989838123322,0.17867989838123322,0.1786798952262884,1,keep,
L2_N18198f00,L2_N926fa20a,0.18293146789073944,0.18293146789073944,0.1829314683526528,1,keep,
L2_N18198f00,L2_N9a2b3002,0.18773259222507477,0.18773259222507477,0.1877325961530268,1,keep,
L2_N18198f00,L2_Nadf8c478,0.4226900339126587,0.4611656963825226,0.4996413998178624,2,keep,
L2_N18198f00,L2_Nb22f5139,0.15809372067451477,0.15809372067451477,0.1580937138596551,1,keep,
L2_N18198f00,L2_Nb80d9c6e,0.18976134061813354,0.18979626893997192,0.1898311837816004,2,keep,
L2_N18198f00,L2_Nd77a7607,0.19669389724731445,0.19786997139453888,0.1990460414237624,2,keep,
L2_N18198f00,L2_Nfeea0571,0.18168118596076965,0.18168118596076965,0.1816811885288813,1,keep,
L2_N227589e0,L2_N33b2d022,0.16689205169677734,0.16689205169677734,0.166892051559387,1,keep,
