node_a,node_b,score_mean,score_p75,score_max,pair_count,human_action,human_notes
L3_N0f65b0c3,L3_Nd3c80123,0.22543056309223175,0.22543056309223175,0.2254305644044783,1,keep,
L3_N0f65b0c3,L3_Nd571b089,0.19581659138202667,0.20370733737945557,0.2115980876977912,2,keep,
L3_N0f65b0c3,L3_Ne55e384d,0.24560703337192535,0.24560703337192535,0.2456070262374001,1,keep,
L3_N0f65b0c3,L3_Ned79e54c,0.1875724196434021,0.1875724196434021,0.1875724162504436,1,keep,
L3_N0f65b0c3,L3_Nf8bb4ea7,0.2084854245185852,0.21765297651290894,0.226820506367196,2,keep,
L3_N133b0ed2,L3_N2d02331f,0.17813000082969666,0.18476761877536774,0.1914052362616335,2,keep,
L3_N133b0ed2,L3_N3ab0a1a9,0.19180284440517426,0.19202154874801636,0.1922402596050119,2,keep,
L3_N133b0ed2,L3_N3ba23cb1,0.18318504095077515,0.18436093628406525,0.1855368246947806,2,keep,
L3_N133b0ed2,L3_N62ed0091,0.2868826389312744,0.2868826389312744,0.2868826509080726,1,keep,
L3_N133b0ed2,L3_N65606e29,0.18870186805725098,0.19369769096374512,0.1986935025579496,2,keep,
L3_N133b0ed2,L3_N724f0a0b,0.15917964279651642,0.15917964279651642,0.1591796436108206,1,keep,
L3_N133b0ed2,L3_N77a3b68b,0.285089910030365,0.2945648431777954,0.3040397540766073,2,keep,
L3_N133b0ed2,L3_N84a28744,0.27519023418426514,0.27519023418426514,0.2751902272295835,1,keep,
L3_N133b0ed2,L3_N98ef0212,0.17813056707382202,0.18250589072704315,0.1868811945276993,2,keep,
L3_N133b0ed2,L3_N9c47a867,0.1952509880065918,0.1952509880065918,0.195250980761221,1,keep,
L3_N133b0ed2,L3_Na5cf0ba6,0.2374456822872162,0.2374456822872162,0.2374456828938398,1,keep,
L3_N133b0ed2,L3_Na7c6a537,0.18460051715373993,0.18543000519275665,0.1862594934481065,2,keep,
