id_a,id_b,rerank_score,kept_by_rerank
DF0403_00019_02,ZY0103_00020_02,-1.0,False
DF0403_00019_02,ZY0103_00043_01,-1.0,False
DF0403_00019_02,ZY0103_00039_01,-1.0,False
DF0403_00019_02,DF0403_00027_01,-1.0,False
DF0403_00019_02,ZY0103_00041_01,-1.0,False
DF0403_00019_02,ZY0103_00030_01,-1.0,False
DF0403_00019_02,DF0403_00032_01,-1.0,False
DF0403_00019_03,DF0403_00019_02,-1.0,False
DF0403_00019_03,DF0403_00032_01,-1.0,False
DF0403_00019_03,DF0403_00027_02,-1.0,False
DF0403_00019_03,DF1759_00064_02,-1.0,False
DF0403_00019_03,DF1759_00064_03,-1.0,False
DF0403_00019_03,DF1759_00083_01,-1.0,False
DF0403_00019_03,DF1176_00033_01,-1.0,False
DF0403_00019_03,DF1759_00061_01,-1.0,False
DF0403_00019_03,DF0403_00032_02,-1.0,False
DF0403_00019_03,DF1759_00085_01,-1.0,False
DF0403_00019_03,ZY0103_00020_02,-1.0,False
DF0403_00019_03,DF1176_00043_01,-1.0,False
DF0403_00019_03,DF1176_00036_01,-1.0,False
DF0403_00019_03,DF1759_00087_01,-1.0,False
DF0403_00019_03,DF0009_00028_01,-1.0,False
DF0403_00019_03,DF1759_00125_01,-1.0,False
DF0403_00019_03,DF0403_00019_01,-1.0,False
DF0403_00019_03,DF1759_00096_01,-1.0,False
DF0403_00019_03,DF1759_00122_01,-1.0,False
DF0403_00019_03,ZY0103_00038_01,-1.0,False
DF0403_00019_03,DF1759_00077_01,-1.0,False
DF0403_00019_03,ZY0103_00023_01,-1.0,False
DF0403_00019_03,DF1759_00128_02,-1.0,False
DF0403_00019_03,DF1759_00089_01,-1.0,False
DF0403_00019_03,ZY0103_00039_01,-1.0,False
DF0403_00019_03,DF1176_00046_01,-1.0,False
DF0403_00019_03,DF1176_00039_01,-1.0,False
DF0403_00019_03,DF1759_00128_01,-1.0,False
DF0403_00027_01,DF0403_00032_01,-1.0,False
DF0403_00027_01,DF0403_00012_01,-1.0,False
DF0403_00027_01,DF0403_00019_01,-1.0,False
DF0403_00027_01,ZY0103_00020_02,-1.0,False
DF0403_00027_01,DF1176_00024_01,-1.0,False
DF0403_00027_01,ZY0103_00038_01,-1.0,False
DF0403_00027_01,DF0403_00019_02,-1.0,False
DF0403_00027_01,DF0403_00027_02,-1.0,False
DF0403_00027_01,ZY0103_00043_01,-1.0,False
DF0403_00027_01,ZY0103_00034_01,-1.0,False
DF0403_00027_01,DF0403_00032_02,-1.0,False
DF0403_00027_01,DF0403_00012_02,-1.0,False
DF0403_00027_01,ZY0103_00039_01,-1.0,False
DF0403_00027_01,ZY0103_00020_01,-1.0,False
DF0403_00027_01,ZY0103_00030_01,-1.0,False
DF0403_00027_01,DF1176_00033_01,-1.0,False
DF0403_00027_01,DF1759_00087_01,-1.0,False
DF0403_00027_01,DF1759_00083_01,-1.0,False
DF0403_00027_01,DF1759_00077_01,-1.0,False
DF0403_00027_01,ZY0103_00036_01,-1.0,False
DF0403_00027_01,ZY0103_00029_01,-1.0,False
DF0403_00027_02,DF1176_00033_01,-1.0,False
DF0403_00027_02,DF0403_00012_01,-1.0,False
DF0403_00027_02,DF0403_00019_02,-1.0,False
DF0403_00027_02,DF1759_00083_01,-1.0,False
DF0403_00027_02,DF0403_00032_02,-1.0,False
DF0403_00027_02,DF1176_00043_01,-1.0,False
DF0403_00027_02,ZY0103_00020_02,-1.0,False
DF0403_00027_02,ZY0103_00020_01,-1.0,False
DF0403_00027_02,ZY0103_00038_01,-1.0,False
DF0403_00027_02,DF0403_00027_01,-1.0,False
DF0403_00027_02,ZY0103_00039_01,-1.0,False
DF0403_00027_02,DF0403_00012_02,-1.0,False
DF0403_00027_02,DF0403_00019_03,-1.0,False
DF0403_00027_02,DF0403_00019_01,-1.0,False
DF0403_00027_02,DF1759_00118_01,-1.0,False
DF0403_00027_02,DF1759_00087_01,-1.0,False
DF0403_00027_02,DF1176_00036_01,-1.0,False
DF0403_00027_02,DF1759_00077_01,-1.0,False
DF0403_00032_01,DF0403_00027_01,-1.0,False
DF0403_00032_01,DF0403_00032_02,-1.0,False
DF0403_00032_01,ZY0103_00038_01,-1.0,False
DF0403_00032_01,DF0403_00012_01,-1.0,False
DF0403_00032_01,DF0403_00019_03,-1.0,False
DF0403_00032_01,DF0403_00019_01,-1.0,False
DF0403_00032_01,ZY0103_00034_01,-1.0,False
DF0403_00032_01,ZY0103_00039_01,-1.0,False
DF0403_00032_01,ZY0103_00043_01,-1.0,False
DF0403_00032_01,ZY0103_00020_02,-1.0,False
DF0403_00032_01,DF1176_00033_01,-1.0,False
DF0403_00032_01,ZY0103_00029_01,-1.0,False
DF0403_00032_01,DF1176_00034_01,-1.0,False
DF0403_00032_01,DF1176_00043_01,-1.0,False
DF0403_00032_01,DF0403_00019_02,-1.0,False
DF0403_00032_01,ZY0103_00030_01,-1.0,False
DF0403_00032_01,ZY0103_00020_01,-1.0,False
DF0403_00032_02,ZY0103_00038_01,-1.0,False
DF0403_00032_02,DF1176_00043_01,-1.0,False
DF0403_00032_02,DF0403_00019_01,-1.0,False
DF0403_00032_02,ZY0103_00029_01,-1.0,False
DF0403_00032_02,DF1176_00033_01,-1.0,False
DF0403_00032_02,DF1759_00083_01,-1.0,False
DF0403_00032_02,ZY0103_00020_01,-1.0,False
DF0403_00032_02,ZY0103_00030_01,-1.0,False
DF0403_00032_02,DF0403_00012_01,-1.0,False
DF0403_00032_02,ZY0103_00020_02,-1.0,False
DF0403_00032_02,ZY0103_00034_01,-1.0,False
DF0403_00032_02,DF0403_00032_01,-1.0,False
DF0403_00032_02,ZY0103_00043_01,-1.0,False
DF0403_00032_02,DF0009_00014_01,-1.0,False
DF0403_00032_02,DF0403_00019_02,-1.0,False
DF0403_00032_02,DF0403_00027_02,-1.0,False
DF0403_00038_01,DF1176_00028_01,-1.0,False
DF0403_00038_01,ZY0103_00038_01,-1.0,False
DF0403_00038_01,ZY0103_00041_01,-1.0,False
DF0403_00038_01,ZY0103_00045_01,-1.0,False
DF0403_00038_01,ZY0103_00020_02,-1.0,False
DF0403_00038_01,DF0403_00032_02,-1.0,False
DF0403_00038_01,DF1176_00033_01,-1.0,False
DF0403_00038_01,DF1176_00029_01,-1.0,False
DF0403_00038_01,ZY0103_00021_02,-1.0,False
DF0403_00038_01,ZY0103_00021_01,-1.0,False
DF0403_00038_01,DF1176_00044_01,-1.0,False
DF0403_00038_01,DF0403_00019_03,-1.0,False
DF0403_00038_01,DF1176_00031_01,-1.0,False
DF0403_00038_01,DF0009_00039_01,-1.0,False
DF0403_00038_01,ZY0103_00027_01,-1.0,False
DF0403_00038_01,DF1176_00043_01,-1.0,False
DF0403_00038_01,DF1759_00174_01,-1.0,False
DF0403_00038_01,DF1176_00046_01,-1.0,False
DF0403_00038_01,DF0403_00019_02,-1.0,False
DF0403_00038_01,ZY0103_00043_01,-1.0,False
DF0403_00038_01,ZY0103_00025_01,-1.0,False
DF0403_00038_01,DF1759_00054_01,-1.0,False
DF0403_00038_01,DF1759_00087_01,-1.0,False
DF0403_00038_02,DF1176_00028_01,-1.0,False
DF0403_00038_02,DF1176_00031_01,-1.0,False
DF0403_00038_02,DF1176_00029_01,-1.0,False
DF0403_00038_02,DF1759_00096_02,-1.0,False
DF0403_00038_02,DF0403_00038_01,-1.0,False
DF0403_00038_02,DF0403_00019_01,-1.0,False
DF0403_00038_02,DF1759_00096_01,-1.0,False
DF0403_00038_02,DF0403_00012_01,-1.0,False
DF0403_00038_02,DF1759_00128_02,-1.0,False
DF0403_00038_02,ZY0103_00021_01,-1.0,False
DF0403_00038_02,ZY0103_00025_01,-1.0,False
DF0403_00038_02,DF0403_00032_01,-1.0,False
DF0403_00038_02,DF0403_00019_03,-1.0,False
DF0403_00038_02,ZY0103_00020_02,-1.0,False
DF0403_00038_02,ZY0103_00021_02,-1.0,False
DF0403_00038_02,ZY0103_00023_01,-1.0,False
DF0403_00038_02,ZY0103_00027_01,-1.0,False
DF0403_00038_02,DF1759_00087_01,-1.0,False
DF0403_00038_02,DF1176_00039_01,-1.0,False
DF0403_00038_02,DF0009_00039_01,-1.0,False
DF0403_00038_02,DF1759_00094_01,-1.0,False
DF1176_00023_01,DF1176_00033_01,-1.0,False
DF1176_00023_01,DF1176_00043_01,-1.0,False
DF1176_00023_01,DF0403_00019_01,-1.0,False
DF1176_00023_01,DF0403_00032_02,-1.0,False
DF1176_00023_01,ZY0103_00038_01,-1.0,False
DF1176_00023_01,DF1759_00126_01,-1.0,False
DF1176_00023_01,DF1176_00024_01,-1.0,False
DF1176_00023_01,DF0009_00036_01,-1.0,False
DF1176_00023_01,ZY0103_00043_01,-1.0,False
DF1176_00023_01,DF0403_00012_01,-1.0,False
DF1176_00023_01,DF0403_00019_02,-1.0,False
DF1176_00023_01,DF1176_00034_01,-1.0,False
DF1176_00023_01,ZY0103_00020_02,-1.0,False
DF1176_00023_01,DF0403_00032_01,-1.0,False
DF1176_00023_01,ZY0103_00030_01,-1.0,False
DF1176_00023_01,DF1176_00026_01,-1.0,False
DF1176_00023_01,DF1176_00046_01,-1.0,False
DF1176_00023_01,ZY0103_00034_01,-1.0,False
DF1176_00024_01,DF1759_00077_01,-1.0,False
DF1176_00024_01,DF1176_00026_01,-1.0,False
DF1176_00024_01,DF1176_00034_01,-1.0,False
DF1176_00024_01,DF1759_00075_01,-1.0,False
DF1176_00024_01,DF1759_00075_02,-1.0,False
DF1176_00024_01,DF1759_00075_03,-1.0,False
DF1176_00024_01,DF1759_00061_01,-1.0,False
DF1176_00024_01,DF1759_00092_01,-1.0,False
DF1176_00024_01,DF1759_00141_01,-1.0,False
DF1176_00024_01,DF1759_00074_01,-1.0,False
DF1176_00024_01,DF1176_00046_01,-1.0,False
DF1176_00024_01,DF1759_00087_01,-1.0,False
DF1176_00024_01,DF1759_00077_02,-1.0,False
DF1176_00024_01,DF1759_00064_01,-1.0,False
DF1176_00024_01,DF1759_00064_02,-1.0,False
DF1176_00024_01,DF1759_00056_01,-1.0,False
DF1176_00024_01,DF1759_00166_01,-1.0,False
DF1176_00026_01,DF1176_00024_01,-1.0,False
DF1176_00026_01,DF1759_00077_01,-1.0,False
DF1176_00026_01,DF1759_00077_02,-1.0,False
